Station Name,Latitude,Longitude,Elevation,IATA,WMO ID,Climate ID,Starting Date (hourly data),Ending Date (hourly data),Starting Date (daily data),Ending Date (daily data),Associated Location
ABBOTSFORD UPPER SUMAS,49.05,-122.27,9 m,,,1100040,,,1935-11-01,1946-03-01,
ABEE AGDM,54.28,-112.97,664 m,XAF,71285,3010010,1990-03-07,+,2002-11-01,2021-03-01,
ABERCORN,45.03,-72.67,149 m,,,7020040,,,1950-12-01,1985-01-01,
ABERCROMBIE POINT,45.65,-62.72,11 m,,,8200015,,,1973-09-01,1978-12-01,
ABERDEEN,52.4,-106.17,518 m,,,4050037,,,1987-11-01,1991-09-01,
ABERFELDIE,49.5,-115.37,805 m,,,1150060,,,1950-05-01,1982-05-01,
ABITIBI CAMP 11,48.93,-89.35,442 m,,,6040010,,,1978-06-01,1983-12-01,
ABITIBI CAMP 11,48.85,-89.12,491 m,,,6040011,,,1983-11-01,1988-04-01,
ABITIBI CAMP 228,48.93,-89.25,472 m,,,6040018,,,1969-12-01,1978-06-01,
ABITIBI CAMP 230,49.35,-89.37,457 m,,,6040020,,,1969-11-01,1991-01-01,
ABITIBI CAMP 300,49.63,-89.75,427 m,,,6040022,,,1978-02-01,1986-12-01,
ABITIBI CANYON,49.88,-81.57,204 m,,,6070027,,,1931-02-01,1963-10-01,
ABITIBI POST,48.72,-79.37,259 m,,,7090050,,,1896-07-01,1936-02-01,
ACADIA FOREST EXP ST,45.99,-66.36,54 m,,,8100100,,,1955-01-01,2010-04-01,
ACADIA VALLEY,51.07,-110.32,735 m,PAC,71048,3020035,2009-02-13,+,2009-02-01,2021-03-01,
ACADIA VALLEY,51.18,-110.23,732 m,,,3020018,,,1980-08-01,1991-09-01,
ACADIA VALLEY CDA EPF,51.07,-110.13,,,,3020022,,,1965-07-01,1965-07-01,
ACADIA VALLEY EXP ST,51.08,-110.28,713 m,,,3020020,,,1954-01-01,1962-12-01,
ACADIA VALLEY MACTAVISH,51.2,-110.17,744 m,,,3020025,,,1988-05-01,2005-01-01,
ACADIA VALLEY VANDYNE,51.03,-110.3,709 m,,,3020031,,,1988-05-01,1998-09-01,
ACADIEVILLE,46.73,-65.28,61 m,,,8100105,,,1980-02-01,1995-01-01,
ACME CDA EPF,51.5,-113.42,905 m,,,3020040,,,1953-01-01,1982-06-01,
ACTIVE PASS,48.87,-123.28,4 m,,,1010066,,,1984-07-01,1996-11-01,
ACTON BEARDMORE,43.63,-80.03,320 m,,,6150039,,,1966-05-01,1967-10-01,
ACTON MONITOR STN,43.65,-80.05,412 m,,,6140041,,,1966-07-01,1971-10-01,
ACTON VALE,45.65,-72.57,95 m,,,7020055,,,1964-06-01,1973-08-01,
ADAIR LO,59.17,-118.33,366 m,,,3070043,,,1968-05-01,2011-08-01,
ADAMS CREEK LO,53.72,-118.57,2210 m,,,3060045,,,1962-05-01,2011-08-01,
ADAMS LAKE SKWAAM BAY,51.08,-119.8,457 m,,,1160075,,,1972-06-01,1975-08-01,
ADDENBROKE ISLAND,51.6,-127.86,21 m,WCZ,,1060080,1994-02-01,2001-12-13,1978-01-01,2021-03-01,
ADEN,49.05,-111.32,1036 m,,,3040049,,,1962-06-01,2000-08-01,
ADRA,49.73,-119.58,1003 m,,,1120090,,,1928-09-01,1953-08-01,
AGASSIZ CDA,49.24,-121.76,15 m,,,1100120,,,1889-10-01,2021-03-01,Agassiz
,,,,,,,,,,,Chilliwack
AGASSIZ MOUNTAIN INSTITUTE,49.27,-121.83,30 m,,,1100130,,,1986-04-01,1995-05-01,
AGASSIZ RCS (Agassiz),49.24,-121.76,19 m,WZA,71113,1100119,1994-02-01,+,1988-11-01,+,Agassiz
,,,,,,,,,,,Chilliwack
AGNEW MINE,46.43,-81.62,305 m,,,6060070,,,1978-07-01,1983-11-01,
AGUASABON,48.78,-87.17,189 m,,,6040081,,,1950-06-01,1972-05-01,
AIGREMONT,49.3,-73.85,404 m,,,7060070,,,1973-11-01,1982-03-01,
AILSA CRAIG,43.15,-81.53,229 m,,,6140091,,,1968-04-01,1972-02-01,
AIRDRIE,51.32,-113.88,1082 m,,,3030060,,,1961-08-01,1963-04-01,
AISHIHIK A,61.65,-137.48,966 m,,,2100100,1953-01-01,1966-09-27,1943-06-01,1966-09-01,
AIYANSH,55.23,-129.02,229 m,,,1070150,,,1924-01-01,1971-09-01,
AIYANSH 2SE,55.18,-129.05,213 m,,,1070154,,,1974-07-01,1985-08-01,
AKAMINA PASS,49.03,-114.05,1800 m,,,30500FR,,,2002-06-01,2007-11-01,
AKLAVIK A (Aklavik Airport),68.22,-135.01,6 m,YKD,,2200100,1953-01-01,2014-03-06,1926-07-01,2014-12-01,Aklavik
AKLAVIK A (Aklavik Airport),68.22,-135.01,6 m,YKD,,2200101,2014-03-04,+,,,Aklavik
AKLAVIK A (Aklavik Airport),68.22,-135.01,6 m,YKD,,2200105,2014-10-23,+,2018-10-01,+,Aklavik
AKLAVIK RADIOSONDE,68.23,-135,9 m,,,2200200,,,1953-03-01,1960-09-01,
AKULIVIK,60.83,-78.17,77 m,MQL,,7100070,,,,,
AKULIVIK A (Akulivik Airport),60.82,-78.15,23 m,YKO,,7100075,1992-09-02,2015-11-19,,,Akulivik
AKULIVIK A (Akulivik Airport),60.82,-78.15,23 m,YKO,,7100071,2015-11-19,+,,,Akulivik
AKULIVIK A (Akulivik Airport),60.82,-78.15,23 m,YKO,,7100072,2018-10-30,+,2018-10-01,+,Akulivik
ALAMEDA CDA EPF,49.25,-102.28,580 m,,,4010080,,,1894-01-01,1965-03-01,
ALBANEL,48.88,-72.45,152 m,,,7060080,,,1922-06-01,1991-01-01,
ALBANY,46.27,-63.58,34 m,,,8300060,,,1984-08-01,1993-03-01,
ALBERNI BEAVER CREEK,49.37,-124.93,91 m,,,1030180,,,1894-05-01,1959-02-01,
ALBERNI CITY RESERVOIR,49.27,-124.78,65 m,,,1030185,,,1962-03-01,1963-12-01,
ALBERNI LUPSI CUPSI,49.25,-124.82,9 m,,,1030210,,,1948-11-01,1974-12-01,
ALBERNI MCCOY LAKE,49.28,-124.88,43 m,,,1030220,,,1958-10-01,1973-08-01,
ALBERNI ROBERTSON CREEK,49.34,-124.98,74 m,,,1030230,,,1961-02-01,2021-03-01,Port Alberni
ALBERT HALL AGCM,53.11,-111.18,658 m,PAH,71005,3010060,2007-06-27,+,2007-05-01,2021-03-01,
ALBERT HEAD,48.4,-123.48,17 m,,,1010235,,,1971-06-01,1995-04-01,
ALBERTON,46.85,-64.02,3 m,,,8300080,,,1969-08-01,2008-05-01,
ALBERTON,43.18,-80.05,215 m,,,6150060,,,1994-06-01,2008-12-01,
ALBERTON SNOW,46.81,-64.06,9 m,,,8300085,,,2012-01-01,2019-03-01,
ALBERTVILLE,48.3,-67.35,335 m,,,7050085,,,1963-01-01,1985-01-01,
ALBION,43.93,-79.83,274 m,,,6150100,,,1956-05-01,2000-12-01,
ALBION FIELD CENTRE,43.92,-79.83,282 m,,,6150103,,,1969-05-01,2001-03-01,
ALBREDA,52.67,-119.2,873 m,,,1170237,,,1973-06-01,1977-03-01,
ALDER FLATS LO,52.8,-114.82,1076 m,,,3010080,,,1952-06-01,1984-09-01,
ALDERGROVE,49.12,-122.48,76 m,,,1100240,,,1953-04-01,1980-06-01,
ALDERGROVE 2,49.03,-122.48,60 m,,,1100241,,,1980-06-01,1989-06-01,
ALDERGROVE 48 AVENUE,49.08,-122.52,85 m,,,1100245,,,1987-03-01,1991-11-01,
ALDERGROVE CENTRE,49.05,-122.47,60 m,,,1100KM0,,,1986-09-01,1989-03-01,
ALDERSHOT,43.32,-79.87,145 m,,,6150135,,,1947-02-01,1977-02-01,
ALERT,82.52,-62.28,31 m,WLT,,2400300,1953-01-01,2006-10-03,1950-07-01,2006-10-01,
ALERT A (CFS Alert),82.52,-62.28,31 m,YLT,,2400302,1988-04-01,+,,,Alert
ALERT BASE (AUT),82.5,-62.37,92 m,WML,,2400304,1983-04-29,1986-11-29,,,
ALERT BAY,50.58,-126.93,59 m,,,1020270,1954-01-01,1994-02-21,1913-12-01,2006-12-01,
ALERT CLIMATE,82.5,-62.33,65 m,ZLT,71355,2400305,2004-06-21,+,2004-06-01,+,Alert
ALERT UA,82.5,-62.33,65 m,,71082,2400306,,,1997-04-01,+,Alert
ALEXANDER,49.83,-100.3,427 m,,,5010033,,,1979-05-01,1999-09-01,
ALEXANDRIA,45.32,-74.61,77 m,TAL,,6100166,2003-03-27,2006-05-24,2003-10-01,2006-05-01,
ALEXIS CREEK,52.1,-123.62,853 m,,,1080283,,,1954-07-01,1956-07-01,
ALEXIS CREEK,52.08,-123.28,800 m,,,1080284,,,1973-08-01,1995-05-01,
ALEXIS CREEK,52.13,-123.33,724 m,,,1080285,,,1919-10-01,1963-09-01,
ALEXIS CREEK TAUTRI CRK,52.55,-123.18,1219 m,,,1080289,,,1961-02-01,1983-09-01,
ALEXIS RIVER (AUT),52.65,-56.87,48 m,WXW,,8500036,1994-02-01,1999-01-22,,,
ALEZA LAKE,54.12,-122.07,625 m,,,1090300,,,1952-02-01,1980-07-01,
ALFRED,45.56,-74.88,57 m,TAE,,6100176,2003-12-03,2007-06-14,2003-10-01,2007-06-01,
ALFRED,45.55,-74.88,54 m,,,6100172,,,1984-09-01,1986-03-01,
ALFRED AUTOMATIC CLIMATE STATION,45.55,-74.88,54 m,,,6100174,,,1989-01-01,1989-10-01,
ALGAR LO,56.12,-111.78,780 m,,,3060110,,,1959-04-01,2011-08-01,
ALGONQUIN PARK,45.58,-78.55,433 m,,,6080189,,,1917-07-01,1960-08-01,
ALGONQUIN PARK EAST,45.53,-78.27,412 m,,,6080191,,,1961-05-01,1972-11-01,
ALGONQUIN PARK EAST GATE (Algonquin Park East Gate),45.53,-78.27,397 m,TNK,71581,6080192,2004-09-01,+,2004-09-01,+,Algonquin Park (Brent)
,,,,,,,,,,,Algonquin Park (Lake of Two Rivers)
,,,,,,,,,,,Oxtongue Lake
ALGONQUIN PARK WEST,45.33,-78.85,427 m,,,6080193,,,1961-05-01,1972-11-01,
ALICE ARM,55.68,-129.5,314 m,,,1060330,,,1948-01-01,1964-09-01,
ALICE ARM,55.47,-129.47,2 m,,,1060331,,,1973-06-01,1978-09-01,
ALIDA,49.45,-101.8,585 m,,,4010100,,,1989-09-01,2004-03-01,
ALIX,52.38,-113.17,788 m,,,3020120,,,1905-08-01,1951-09-01,
ALIX,52.37,-113.3,853 m,,,3020121,,,1970-07-01,1973-09-01,
ALKALI LAKE,51.78,-122.28,,,,1090335,,,1910-09-01,1922-03-01,
ALLAN PARK,44.17,-80.93,285 m,,,6110210,,,1975-08-01,1976-11-01,
ALLIANCE,52.43,-111.78,716 m,,,3010160,,,1916-05-01,1982-07-01,
ALLIANCE AGCM,52.32,-111.78,737 m,PAA,71006,3010162,2007-08-22,+,2007-05-01,2021-03-01,
ALLIANCE GREENVIEW,52.38,-111.8,732 m,,,3010164,,,1960-04-01,1962-12-01,
ALLIANCE SOUTH,52.42,-111.78,713 m,,,3010175,,,1982-10-01,2000-10-01,
ALLISON PASS,49.13,-120.83,1341 m,,,1110350,,,1958-09-01,1972-10-01,
ALLISON PASS DOH,49.12,-120.87,1340 m,,,1110352,,,1974-11-01,1989-05-01,
ALLISTON,44.15,-79.85,213 m,,,6110216,,,1953-03-01,1975-01-01,
ALLISTON,46.07,-62.6,61 m,,,8300100,,,1936-01-01,2016-12-01,
ALLISTON NELSON,44.15,-79.87,221 m,,,6110218,,,1973-07-01,2008-01-01,
ALLISTON SNOW,46.07,-62.6,61 m,,,8300102,,,2008-12-01,2009-04-01,
ALLOA,43.72,-79.87,262 m,,,6150224,,,1951-02-01,1954-11-01,
ALMA,45.6,-64.95,43 m,,,8100200,,,1950-02-01,2011-03-01,Fundy (National Park)
,,,,,,,,,,,Hopewell
ALMASIPPI,49.55,-98.2,274 m,,,5020036,,,1902-05-01,1925-06-01,
ALMONTE,45.18,-76.23,125 m,,,6100226,,,1912-02-01,1980-02-01,
ALONSA,50.83,-99.05,274 m,,,5040037,,,1980-10-01,2007-11-01,
ALOUETTE LAKE,49.28,-122.48,117 m,,,1100360,,,1924-01-01,1982-12-01,
ALOUETTE POWER HOUSE,49.37,-122.32,91 m,,,1100370,,,1935-07-01,1949-03-01,
ALSASK,51.38,-110,701 m,,,4040120,,,1913-06-01,1951-12-01,
ALSASK,51.38,-110.03,701 m,,,3020220,,,1957-05-01,1965-04-01,
ALSASK,51.42,-109.9,661 m,,,4020121,,,1970-08-01,1970-09-01,
ALSASK HARDENE,51.33,-109.85,658 m,,,4020130,,,1959-05-01,1997-11-01,
ALTA LAKE,50.15,-122.95,668 m,,,1040390,1953-01-01,1976-04-22,1950-10-01,1976-03-01,Whistler
ALTA LAKE 2,50.15,-122.98,640 m,,,1040420,,,1931-11-01,1969-09-01,
ALTA LAKE NORTHAIR MINE,50.12,-123.1,1006 m,,,1040400,,,1975-12-01,1987-07-01,
ALTAWAN,49.25,-110.01,945 m,,,3040223,,,1965-11-01,2007-09-01,
ALTON,43.85,-80.08,401 m,,,6150243,,,1887-01-01,1964-01-01,
ALTONA,49.1,-97.55,248 m,,,5020040,,,1948-11-01,2008-07-01,
ALTONA CFAM,49.1,-97.55,248 m,,,5020050,,,1959-09-01,1968-07-01,
ALTONA SOUTH,49.05,-97.57,250 m,,,5020054,,,1984-09-01,1989-06-01,
ALVINSTON,42.87,-81.88,221 m,,,6120250,,,1965-06-01,1969-12-01,
AMARANTH,50.63,-98.72,259 m,,,5040060,,,1980-10-01,2004-12-01,
AMBER LO,59.18,-119.45,579 m,,,3070230,,,1967-05-01,2011-08-01,
AMHERST (AUT),45.85,-64.27,23 m,WAH,,8200091,1994-02-01,2005-05-04,1992-12-01,2005-05-01,
AMHERST ISLAND CDA EPF,47.22,-61.97,15 m,,,7050100,,,1957-05-01,1962-09-01,
AMHERSTBURG,42.1,-83.09,182 m,,,6130257,,,1988-07-01,2021-03-01,
AMISK,52.68,-111.12,701 m,,,3010232,,,1967-10-01,1974-12-01,
AMOS,48.57,-78.13,310 m,,,7090120,,,1913-06-01,2000-05-01,
AMPHITRITE POINT,48.92,-125.53,11 m,,,1030425,,,1958-01-01,1980-04-01,
AMPHITRITE POINT,48.92,-125.54,27 m,WAN,,1030426,1980-05-01,2001-10-09,1980-05-01,2010-03-01,
AMQUI (Amqui),48.47,-67.43,166 m,WZS,71386,7050145,1995-08-24,2019-07-08,1996-08-01,2019-07-01,Amqui
,,,,,,,,,,,Matapedia
,,,,,,,,,,,Vallée de la Matapédia
AMQUI,48.52,-67.45,183 m,,,7050140,,,1957-03-01,1997-10-01,Amqui
AMULET,49.62,-104.73,728 m,,,4010150,,,1970-12-01,2002-05-01,
AMYOT LAKE,53.7,-106.68,,,,4050153,,,1972-10-01,1972-12-01,
ANAHIM LAKE,52.35,-125.33,1097 m,,,1080430,,,1954-09-01,1967-06-01,
ANAHIM LAKE,52.47,-125.32,1108 m,,,1080431,,,1975-07-01,1994-03-01,
ANAHIM LAKE 5 MILE RANCH,52.53,-125.07,1246 m,,,1080432,,,1980-09-01,1988-07-01,
ANDREW,54.02,-112.23,610 m,,,3010234,,,1973-06-01,2017-12-01,
ANDREW AGDM,53.92,-112.28,625 m,XAG,71286,3010237,1998-04-08,+,2002-12-01,2021-03-01,
ANEROID,49.72,-107.3,754 m,,,4020160,,,1916-05-01,2005-04-01,
ANGERS,45.55,-75.55,91 m,,,7030170,,,1962-01-01,2020-12-01,
ANGLIA,51.57,-108.17,567 m,,,4040180,,,1913-04-01,1945-06-01,
ANGUS,44.32,-79.87,191 m,,,6110270,,,1930-02-01,1965-02-01,
ANGUS CAMPHILL,44.28,-79.85,212 m,,,6110275,,,1994-09-01,1997-11-01,
ANGUS TOWER,60.35,-114.28,247 m,,,2200310,,,1968-06-01,1990-08-01,
ANNACIS ISLAND,49.18,-122.93,5 m,,,1100440,,,1954-10-01,1962-03-01,
ANNAPOLIS ROYAL,44.75,-65.52,8 m,,,8200100,,,1914-04-01,2007-06-01,
ANNIE LAKE ROBINSON,60.47,-134.83,820 m,,,2100115,,,1976-09-01,2006-05-01,
ANOLA,49.88,-96.65,255 m,,,5020069,,,1986-07-01,1987-10-01,
ANSE AU GRIFFON,48.93,-64.28,61 m,,,7050195,,,1973-09-01,1985-01-01,
ANSELL LO,53.55,-116.5,968 m,,,3060235,,,1960-06-01,2011-09-01,
ANSELMO,53.97,-115.42,853 m,,,3060237,,,1990-05-01,2003-09-01,
ANTHRACITE,51.2,-115.5,1387 m,,,3050240,,,1929-03-01,1962-02-01,
ANTICOSTI HEATH POINT,49.1,-61.7,9 m,,,7050198,,,1882-07-01,1935-09-01,
ANTICOSTI SW POINT,49.4,-63.55,7 m,,,7050200,,,1872-02-01,1954-10-01,
ANTICOSTI WEST POINT,49.87,-64.53,9 m,,,7050210,,,1882-08-01,1933-08-01,
ANTIGONISH,45.63,-61.97,9 m,,,8200150,,,1880-12-01,1947-12-01,
ANTIGONISH,45.62,-61.98,31 m,,,8200151,,,1979-07-01,1982-12-01,
ANTIGONISH SNOW,45.62,-61.9,30 m,,,8200152,,,2009-01-01,2009-04-01,
ANTLER HILL,52.05,-113.85,945 m,,,3020250,,,1973-07-01,1973-12-01,
ANVIL,62.37,-133.38,1158 m,,,2100120,,,1967-11-01,1991-03-01,
ANVIL ISLAND,49.52,-123.3,31 m,,,1040445,,,1956-10-01,1963-06-01,
ANYOX,55.42,-129.82,113 m,,,1060446,,,1916-05-01,1935-06-01,
ANZAC,56.45,-111.05,488 m,,,3060280,,,1950-10-01,1957-08-01,
ANZAC,56.45,-111.03,495 m,,,3060281,,,1972-11-01,1979-07-01,
APEX MTN LODGE,49.4,-119.92,1890 m,,,1120447,,,1965-06-01,1971-09-01,
APPLE HILL,45.22,-74.75,91 m,,,6100284,,,1950-11-01,1961-11-01,
APPLETON,45.19,-76.11,133 m,,,6100285,,,1992-03-01,2021-03-01,
APPS MILL,43.13,-80.38,230 m,,,6140286,,,1972-10-01,1972-11-01,
APRIL BROOK IHD,46.23,-61.13,61 m,,,8200155,,,1966-12-01,1976-01-01,
APSLEY,44.77,-78.08,274 m,,,6160297,,,1922-03-01,1957-03-01,
ARAWANA,49.58,-119.57,518 m,,,1120M47,,,1970-12-01,1976-06-01,
ARBORG,50.93,-97.08,224 m,,,5030080,,,1951-01-01,2016-06-01,
ARCHERWILL,52.43,-104.02,556 m,,,4080200,,,1951-01-01,1982-11-01,
ARCOLA CDA EPF,49.63,-102.53,604 m,,,4010240,,,1952-03-01,1993-06-01,
ARCTIC BAY (Arctic Bay Airport),73.01,-85.05,22 m,YAB,,2400399,2011-01-13,+,2018-10-01,+,Arctic Bay
,,,,,,,,,,,Nanisivik
ARCTIC BAY,73.03,-85.15,11 m,,,2400400,1953-01-01,1976-12-22,1937-09-01,1976-12-01,Arctic Bay
,,,,,,,,,,,Nanisivik
ARCTIC BAY A (Arctic Bay Airport),73.01,-85.05,22 m,YAB,,2400401,2012-07-24,+,,,Arctic Bay
,,,,,,,,,,,Nanisivik
ARCTIC BAY A (Arctic Bay Airport),73.01,-85.05,22 m,YAB,,2400402,2011-02-09,2012-07-26,,,Arctic Bay
,,,,,,,,,,,Nanisivik
ARCTIC BAY CS,72.99,-85.01,10 m,XAT,71592,2400404,2000-02-19,+,1999-11-01,+,Arctic Bay
,,,,,,,,,,,Nanisivik
ARCTIC RED RIVER,67.45,-133.73,31 m,,,2200412,,,1974-06-01,1975-08-01,
ARDEN,44.7,-76.95,,,,6100310,,,1895-08-01,1911-01-01,
ARDENVILLE,49.53,-113.43,1126 m,PAV,,3030200,2014-10-21,+,2018-05-01,2021-03-01,
ARGENTA,50.17,-116.93,549 m,,,1140448,,,1957-11-01,1974-06-01,
ARGENTIA (AUT) (Argentia),47.29,-53.99,19 m,WAR,71807,8400104,1987-01-01,2017-08-03,1992-12-01,2017-08-01,Placentia
ARGENTIA A,47.3,-54,14 m,,,8400100,1953-01-01,1970-05-25,1945-03-01,1970-05-01,
ARGENTIA A,47.3,-54,16 m,,,8400102,1976-05-01,1986-10-31,1976-05-01,1986-10-01,
ARGYLE HEAD,43.83,-65.87,15 m,,,8200170,,,1981-06-01,1983-11-01,
ARGYLE SHORE,46.17,-63.35,15 m,,,8300108,,,1988-07-01,1991-11-01,
ARKONA,43.03,-81.92,183 m,,,6120315,,,1882-07-01,1915-03-01,
ARMADA EXP ST,50.4,-112.68,911 m,,,3030300,,,1955-01-01,1963-03-01,
ARMAGH,46.75,-70.53,358 m,,,7050240,,,1916-06-01,1994-05-01,
ARMAGH STATION,46.72,-70.62,312 m,,,7050245,,,1966-12-01,1986-11-01,
ARMENA,53.13,-112.95,747 m,,,3010301,,,1969-06-01,1972-08-01,
ARMIT,52.83,-101.78,308 m,,,4080250,,,1958-09-01,1994-10-01,
ARMSTRONG,50.28,-89.15,342 m,,,6040322,,,1926-05-01,1947-10-01,
ARMSTRONG,50.45,-119.18,359 m,,,1160450,,,1912-01-01,1992-09-01,
ARMSTRONG (AUT),50.29,-88.91,323 m,WYW,71841,6040325,1953-01-01,+,1938-08-01,+,Armstrong
,,,,,,,,,,,Gull Bay
ARMSTRONG (AUT),50.3,-89.03,351 m,,,6040326,1994-02-01,1995-08-19,1994-10-01,1995-06-01,
ARMSTRONG A (Armstrong Airport),50.29,-88.91,323 m,YYW,,6040327,2015-06-18,+,2018-10-01,+,Armstrong
,,,,,,,,,,,Gull Bay
ARMSTRONG GRANDVIEW,50.4,-119.28,503 m,,,1120475,,,1959-03-01,1960-06-01,
ARMSTRONG HULLCAR,50.5,-119.22,505 m,,,1160483,,,1971-07-01,1998-12-01,
ARMSTRONG JELLIEN,50.25,-89.1,341 m,,,6040330,,,1987-12-01,1992-10-01,
ARMSTRONG NORTH,50.47,-119.13,373 m,,,1160485,,,1972-10-01,1993-12-01,
ARMSTRONG OTTER LAKE,50.4,-119.25,342 m,,,1120486,,,1991-04-01,1992-09-01,
ARNES,50.8,-96.95,221 m,WRE,,5030109,1994-02-01,2000-10-06,,,
ARNESON,51.23,-110.05,754 m,,,3020L01,,,1983-04-01,1986-09-01,
ARNOLDS COVE,47.75,-54,15 m,,,8400135,,,1971-07-01,1994-06-01,
ARNPRIOR,45.43,-76.38,99 m,,,6100340,,,1959-09-01,1964-01-01,
ARNPRIOR GRANDON,45.42,-76.37,107 m,,,6100345,,,1959-10-01,1999-09-01,
AROOSTOOK,46.71,-67.72,80 m,,,8100300,,,1929-06-01,2021-03-01,
ARRAN,51.97,-101.73,450 m,,,4080260,,,1957-10-01,1971-07-01,
ARRAN 23N,52.2,-101.63,450 m,,,4080262,,,1970-06-01,1992-10-01,
ARRAS,55.73,-120.53,677 m,,,1180490,,,1970-04-01,1988-09-01,
ARROW RIVER,50.17,-100.85,486 m,,,5010114,,,1982-10-01,1983-08-01,
ARROWWOOD,50.73,-113.15,936 m,,,3030302,,,1965-06-01,1975-07-01,
ARTHABASKA,46.02,-71.95,140 m,,,7020305,,,1969-10-01,2020-12-01,
ARTHUR,43.82,-80.57,452 m,,,6140348,,,1964-01-01,1988-01-01,
ARTHURETTE BIRCH RIDGE,46.75,-67.47,215 m,,,8100350,,,1967-06-01,1983-09-01,
ARTLAND,52.78,-109.9,640 m,,,4040267,,,1983-01-01,2005-06-01,
ARUNDEL,45.95,-74.62,191 m,,,7030310,,,1963-12-01,2021-02-01,Mont-Tremblant
ARVIAT A (Arviat Airport),61.09,-94.07,10 m,YEK,,2300428,2012-10-09,+,,,Arviat
ARVIAT A (Arviat Airport),61.09,-94.07,10 m,YEK,71174,2300427,2012-07-18,+,2012-07-01,+,Arviat
ARVIAT A (Arviat Airport),61.1,-94.07,10 m,YEK,,2300MKF,1984-12-03,2012-10-11,1973-03-01,2016-12-01,Arviat
ARVIAT AWOS (Arviat Airport),61.1,-94.07,10 m,YEK,,2300426,2008-07-02,2012-07-26,2008-07-01,2012-07-01,Arviat
ARVIAT CLIMATE,61.1,-94.07,10 m,XAR,71322,2301153,2004-12-16,+,2004-06-01,+,Arviat
ARVIDA,48.43,-71.17,102 m,,,7060320,,,1931-07-01,1989-09-01,
ASBESTOS,45.77,-71.95,229 m,,,7020360,,,1948-05-01,1987-04-01,
ASBESTOS HILL,61.8,-73.95,484 m,,,7110370,,,1960-05-01,1963-11-01,
ASH RIVER,49.47,-125.08,305 m,,,1030550,,,1957-07-01,1959-11-01,
ASH RIVER GENERATING STN,49.37,-125.15,91 m,,,1030552,,,1959-10-01,1969-06-01,
ASHCROFT (Ashcroft),50.71,-121.28,327 m,VAS,71681,1160515,2010-06-16,+,2010-06-01,+,Cache Creek
ASHCROFT,50.72,-121.28,305 m,,,1160510,,,1912-09-01,1970-01-01,
ASHCROFT,50.73,-121.27,331 m,,,1160511,,,1973-05-01,1989-11-01,
ASHCROFT M,50.72,-121.33,488 m,,,1160540,,,1944-11-01,1972-08-01,
ASHCROFT NORTH,50.73,-121.27,320 m,,,1160520,,,1980-08-01,1986-09-01,
ASHCROFT VENABLES VLY,50.55,-121.33,640 m,,,1160546,,,1984-06-01,1987-01-01,
ASHDALE,45,-63.88,70 m,,,8200180,,,2000-12-01,2004-03-01,
ASHERN,51.13,-98.37,263 m,,,5040120,,,1951-01-01,1991-01-01,
ASHERN NORTHWEST,51.2,-98.38,267 m,,,5040JK0,,,1989-10-01,2001-02-01,
ASHTON,45.2,-75.97,137 m,,,6100353,,,1956-08-01,1956-09-01,
ASHTON HILL,47.1,-65.73,279 m,,,8100400,,,1935-06-01,1947-08-01,
