,Station,Station ID,Province,Index_col,Monthly Range,Daily Range
40,ASSUMPTION,2652,AB,40,1973-01-01|1975-12-01,1973-09-01|1975-07-31
41,ASSUMPTION,2651,AB,41,1961-01-01|1970-12-01,1961-08-01|1970-03-31
42,ATHABASCA,2466,AB,42,1918-01-01|1967-12-01,1918-06-01|1967-09-30
43,ATHABASCA 1,2459,AB,43,1986-01-01|2007-11-01,1986-08-01|2020-03-12
44,ATHABASCA 2,2467,AB,44,1952-01-01|2007-11-01,1952-06-01|2010-12-30
45,ATHABASCA 3,2468,AB,45,1973-01-01|1974-12-01,1973-11-01|1974-03-31
46,ATHABASCA AGCM,47047,AB,46,|,2008-06-05|2021-02-25
47,ATHABASCA EXP ST,2469,AB,47,1952-01-01|1957-12-01,1952-01-01|1957-12-31
48,ATHABASCA LANDING,2470,AB,48,1900-01-01|1927-12-01,1900-04-01|1927-07-31
49,ATHABASCA LO,2471,AB,49,1954-01-01|2007-09-01,1954-06-01|2011-09-30
50,ATIKAMEG,2653,AB,50,1959-01-01|1959-12-01,1959-06-01|1959-06-30
51,ATLEE,2040,AB,51,1982-01-01|1995-10-01,1982-06-01|1995-10-31
52,ATLEE AGCM,47787,AB,52,|,2009-02-13|2021-02-25
53,ATMORE,2472,AB,53,1973-01-01|1973-12-01,1973-06-01|1973-08-31
54,ATMORE AGDM,32231,AB,54,2003-01-01|2007-11-01,2002-11-01|2021-02-25
55,AURORA LO,1814,AB,55,1968-01-01|2007-09-01,1968-06-01|2011-09-29
56,AZURE,47727,AB,56,|,2008-11-26|2021-02-25
57,BAIRD LAKE,2473,AB,57,1981-01-01|1997-03-01,1981-06-01|1997-03-31
58,BALD MOUNTAIN LO,2654,AB,58,1954-01-01|2007-09-01,1954-06-01|2011-09-01
59,BALDY LO,2363,AB,59,1960-01-01|2007-09-01,1960-06-01|2011-09-29
60,BALLATER,2655,AB,60,1990-01-01|2007-11-01,1990-10-01|2014-10-02
61,BALLATER AGCM,49048,AB,61,|,2018-05-14|2021-02-25
62,BALM,2474,AB,62,1969-01-01|1974-12-01,1969-09-01|1974-04-30
63,BANANA BELT,2475,AB,63,1971-01-01|1972-12-01,1971-10-01|1972-09-30
64,BANFF,2364,AB,64,1887-01-01|1995-03-01,1887-11-01|1995-03-31
65,BANFF (AUT),8811,AB,65,|,1992-12-02|1997-12-16
66,BANFF CR10,27210,AB,66,1996-05-01|1997-11-01,1996-04-01|1997-11-30
67,BANFF CS,27378,AB,67,1995-04-01|2007-11-01,1995-04-01|2021-02-25
68,BANFF SPRINGS,31198,AB,68,2001-09-01|2007-08-01,2001-09-01|2007-08-31
69,BAPTISTE LAKE,2476,AB,69,1971-01-01|2000-10-01,1971-11-01|2000-10-31
70,BARNWELL AGDM,31408,AB,70,2002-02-01|2007-11-01,2002-01-01|2021-02-25
71,BARONS AGCM,46447,AB,71,2007-05-01|2007-11-01,2007-05-01|2021-02-25
72,BARONS EXP ST,2184,AB,72,1955-01-01|1963-12-01,1955-01-01|1963-03-31
73,BARONS EXP ST 2,2185,AB,73,1956-01-01|1959-12-01,1956-05-01|1960-06-30
74,BARRHEAD,2477,AB,74,1974-01-01|1976-12-01,1974-10-01|1976-11-30
75,BARRHEAD CS,30641,AB,75,2001-01-01|2007-11-01,2000-12-01|2021-02-25
76,BARRIER LAKE,27295,AB,76,1995-05-01|2007-09-01,1995-05-01|2011-09-01
77,BASELINE LO,1815,AB,77,1961-01-01|2007-09-01,1961-06-01|2011-09-29
78,BASHAW,1816,AB,78,1906-01-01|1922-12-01,1906-11-01|1922-10-31
79,BASHAW,2041,AB,79,1971-01-01|1975-12-01,1971-02-01|1975-09-30
80,BASNETT,2648,AB,80,1989-01-01|2007-09-01,1989-07-01|2011-09-01
81,BASSANO AGCM,46467,AB,81,2007-05-01|2007-11-01,2007-05-01|2021-02-25
82,BASSANO DAM,2186,AB,82,1914-01-01|1935-12-01,1914-11-01|1935-12-31
83,BASSANO GEM,2187,AB,83,1916-01-01|1935-12-01,1916-05-01|1935-12-31
84,BASSET LO,2656,AB,84,1966-01-01|2007-08-01,1966-05-01|2011-08-21
85,BATTLE CREEK LO,2175,AB,85,1974-01-01|1978-12-01,1974-07-01|1978-09-30
86,BATTLE HEADWATERS,42164,AB,86,2003-10-01|2007-11-01,2003-09-01|2007-11-30
87,BATTLE RIVER LO,2657,AB,87,1955-01-01|2007-09-01,1955-05-01|2011-09-22
88,BEARBERRY,2042,AB,88,1969-01-01|1970-12-01,1969-10-01|1970-02-28
89,BEAUVAIS PARK,8753,AB,89,1998-05-01|2007-11-01,1998-02-01|2007-11-30
90,BEAVER HILLS WEST,1817,AB,90,1897-01-01|1908-12-01,1897-12-01|1908-11-30
91,BEAVER LAKE RS,2478,AB,91,1980-01-01|1995-10-01,1980-06-01|1995-10-31
92,BEAVER MINES,50028,AB,92,|,2012-02-07|2021-02-25
93,BEAVER MINES,2366,AB,93,1912-01-01|2007-11-01,1912-11-01|2012-03-31
94,BEAVERLODGE CDA,2658,AB,94,1913-01-01|2006-07-01,1913-04-01|2007-05-31
95,BEAVERLODGE CDA,10935,AB,95,|,1996-08-16|2002-01-17
96,BEAVERLODGE RCS,30669,AB,96,2001-01-01|2007-11-01,2001-01-01|2021-02-25
97,BEAVERLODGE REDLOW,2659,AB,97,1912-01-01|1930-12-01,1912-01-01|1930-06-30
98,BEISEKER AGCM,46468,AB,98,2007-05-01|2007-11-01,2007-05-01|2021-02-25
99,BEISEKER VILLAGE,2043,AB,99,1984-01-01|1985-12-01,1984-12-01|1985-10-31
100,BELLIS,1818,AB,100,1961-01-01|1969-12-01,1961-07-01|1969-11-30
101,BELLIS,1819,AB,101,1979-01-01|1992-12-01,1979-11-01|1992-09-30
102,BELLSHILL AGCM,46128,AB,102,|,2007-06-27|2021-02-25
103,BENALTO,2044,AB,103,1962-01-01|1963-12-01,1962-07-01|1963-07-31
104,BERLAND LO,2479,AB,104,1958-01-01|2007-09-01,1958-05-01|2011-09-01
105,BERNY,2480,AB,105,1981-01-01|1981-12-01,1981-05-01|1981-05-31
106,BERRY CREEK,2045,AB,106,1982-01-01|1990-12-01,1982-05-01|1990-10-31
107,BERWYN,2660,AB,107,1921-01-01|1958-12-01,1921-01-01|1958-11-30
108,BERWYN CDA,2661,AB,108,1975-01-01|1993-12-01,1975-10-01|1993-03-31
109,BIG COULEE,2188,AB,109,1980-01-01|1985-12-01,1980-10-01|1985-05-31
110,BIG STONE,2046,AB,110,1982-01-01|2000-01-01,1982-05-01|2000-01-31
111,BIG STONE LOCKHART,31327,AB,111,2002-01-01|2004-11-01,2002-01-01|2004-11-30
112,BIG VALLEY,2047,AB,112,1970-01-01|1986-12-01,1970-05-01|1986-11-30
113,BIG VALLEY AGCM,46469,AB,113,|,2007-09-11|2021-02-25
114,BIG VALLEY WEST,2048,AB,114,1980-01-01|1983-12-01,1980-11-01|1983-03-31
115,BIGHORN DAM,2365,AB,115,1969-01-01|2007-11-01,1969-10-01|2010-09-26
116,BINDLOSS,2049,AB,116,1948-01-01|1959-12-01,1948-05-01|1959-09-30
117,BINDLOSS EAST,2050,AB,117,1980-01-01|2007-11-01,1980-08-01|2008-02-29
118,BINDLOSS EXP ST,2051,AB,118,1954-01-01|1955-12-01,1954-05-01|1955-12-31
119,BIRCH LAKE,1820,AB,119,1987-01-01|1988-12-01,1987-07-01|1988-11-30
120,BIRCH MOUNTAIN LO,2481,AB,120,1960-01-01|2007-09-01,1960-06-01|2011-08-23
121,BIRCH MOUNTAIN TOWER,2662,AB,121,1976-01-01|1990-12-01,1976-06-01|1990-08-31
122,BISMARK,2052,AB,122,1906-01-01|1916-12-01,1906-11-01|1916-06-30
123,BISON LO,2663,AB,123,1963-01-01|2007-08-01,1963-04-01|2011-08-23
124,BISTCHO LAKE (F5),27827,AB,124,1999-06-01|2001-09-01,1999-04-01|2004-09-30
125,BITTERN LAKE,1821,AB,125,1907-01-01|1926-12-01,1907-02-01|1926-10-31
126,BITUMONT LO,2482,AB,126,1962-01-01|2007-09-01,1962-05-01|2008-08-26
127,BLACK DIAMOND,47747,AB,127,|,2008-12-04|2021-02-25
128,BLACKIE,2176,AB,128,1970-01-01|1972-12-01,1970-04-01|1972-07-31
129,BLACKIE 2W,2177,AB,129,1972-01-01|1982-12-01,1972-07-01|1982-02-28
130,BLACKIE AGCM,50917,AB,130,|,2018-05-14|2021-02-25
131,BLACKIE NORTH,2178,AB,131,1972-01-01|1977-12-01,1972-06-01|1977-07-31
132,BLACKIE NW,2179,AB,132,1977-01-01|1977-12-01,1977-07-01|1977-10-31
133,BLACKSTONE LO,1822,AB,133,1965-01-01|2007-09-01,1965-06-01|2011-09-01
134,BLAIRMORE HQTS RS,2367,AB,134,1971-01-01|1999-10-01,1971-06-01|1999-10-31
135,BLINDMAN,2053,AB,135,1963-01-01|1992-12-01,1963-06-01|1992-08-31
136,BLOOD INDIAN CREEK,2054,AB,136,1982-01-01|1993-12-01,1982-05-01|1993-05-31
137,BLOOD TRIBE AGDM,42703,AB,137,2004-06-01|2007-11-01,2004-06-01|2021-02-25
138,BLUEBERRY CREEK,6861,AB,138,1993-01-01|1996-05-01,1993-05-01|1996-05-31
139,BLUEBERRY MTN CDA EPF,2664,AB,139,1955-01-01|1972-12-01,1955-03-01|1972-12-31
140,BLUEHILL LO,2368,AB,140,1962-01-01|2007-09-01,1962-05-01|2011-09-01
141,BLUFFTON,2055,AB,141,1964-01-01|1984-12-01,1963-06-01|1984-05-31
142,BOB CREEK,2369,AB,142,1971-01-01|1983-12-01,1971-10-01|1983-03-31
143,BODO AGDM,32149,AB,143,2002-12-01|2007-11-01,2002-11-01|2021-02-25
144,BONNIE VIEW,2333,AB,144,1977-01-01|1981-12-01,1977-03-01|1981-07-31
145,BONNYVILLE EXP ST,2831,AB,145,1952-01-01|1954-12-01,1952-01-01|1954-04-30
146,BOVINE CREEK AFS,27037,AB,146,1995-06-01|2007-09-01,1995-06-01|2011-09-01
147,BOW ISLAND,10915,AB,147,1996-06-01|2007-11-01,1993-06-04|2021-02-25
148,BOW ISLAND,8755,AB,148,2003-05-01|2004-07-01,2003-05-01|2004-07-31
149,BOW ISLAND EXP ST,2189,AB,149,1955-01-01|1959-12-01,1955-01-01|1959-12-31
150,BOW ISLAND IRRIGATION AGDM,42723,AB,150,2005-05-01|2006-12-01,2004-06-18|2021-02-25
151,BOW ISLAND RIVERS DEV,2190,AB,151,1958-01-01|1976-12-01,1958-09-01|1976-04-30
152,BOW SUMMIT (PC),27653,AB,152,1999-03-01|2007-08-01,1999-03-01|2007-11-30
153,BOW VALLEY,10222,AB,153,1996-01-01|2007-11-01,1993-06-04|2021-02-25
154,BOW VALLEY PROV PARK,2370,AB,154,1967-01-01|1990-12-01,1967-05-01|1990-05-31
155,BOWDEN,2056,AB,155,1957-01-01|1985-12-01,1957-01-01|1985-05-31
156,BOWNESS,2191,AB,156,1959-01-01|1959-12-01,1959-01-01|1959-08-31
157,BOYLE,2483,AB,157,1956-01-01|1958-12-01,1956-03-01|1958-03-31
158,BRAGG CREEK WEST,2192,AB,158,1975-01-01|1985-12-01,1975-05-01|1985-05-31
159,BRANT,2193,AB,159,1983-01-01|1989-12-01,1983-04-01|1989-11-30
160,BRAZEAU LO,1823,AB,160,1940-01-01|2007-09-01,1940-05-01|2011-09-29
161,BREMNER,1824,AB,161,1962-01-01|1972-12-01,1962-03-01|1972-05-31
162,BRETON,1825,AB,162,1961-01-01|2007-11-01,1961-08-01|2020-05-06
163,BRETON PLOTS,10928,AB,163,2001-12-01|2007-11-01,2001-12-01|2021-02-25
164,BRETON TOWN,1826,AB,164,1977-01-01|1989-12-01,1977-08-01|1989-08-31
165,BRIARFIELD,1827,AB,165,1987-01-01|1995-02-01,1987-05-01|1995-02-28
166,BRIGHTVIEW,1828,AB,166,1961-01-01|2007-11-01,1961-06-01|2012-04-01
167,BRIGHTWOOD,2484,AB,167,1965-01-01|1973-12-01,1965-02-01|1973-02-28
168,BROCKET AGDM,31407,AB,168,2002-02-01|2007-11-01,2001-12-01|2021-02-25
169,BROOKS,2194,AB,169,1966-01-01|1980-12-01,1966-02-01|1980-05-31
170,BROOKS,2180,AB,170,1988-01-01|2007-10-01,1988-12-01|2021-02-25
171,BROOKS 1,2195,AB,171,1912-01-01|1968-12-01,1912-04-01|1968-08-31
172,BROOKS AHRC,2196,AB,172,1915-01-01|1988-12-01,1915-04-01|1988-10-31
173,BROOKS NORTH,2197,AB,173,1970-01-01|2002-09-01,1970-06-01|2002-09-30
174,BROOKS ONE TREE,2057,AB,174,1960-01-01|1991-12-01,1960-04-01|1991-06-30
175,BROWNFIELD,1829,AB,175,1958-01-01|2007-11-01,1958-09-01|2009-06-14
176,BROWNVALE AGCM,47067,AB,176,|,2008-06-05|2021-02-25
177,BRUDERHEIM,1830,AB,177,1899-01-01|1962-12-01,1899-09-01|1962-12-31
178,BRULE BLACK CAT,2485,AB,178,1985-01-01|2007-11-01,1985-07-01|2021-02-24
179,BUCK MOUNTAIN,1831,AB,179,1939-01-01|1951-12-01,1939-05-01|1951-07-31
180,BUCK MOUNTAIN,1806,AB,180,1967-01-01|1970-12-01,1967-10-01|1970-08-31
181,BUCKTON LO,2486,AB,181,1965-01-01|2007-08-01,1965-06-01|2010-08-30
182,BUFFALO,2058,AB,182,1982-01-01|1983-12-01,1982-06-01|1983-07-31
183,BUFFALO AGCM,50920,AB,183,|,2018-05-14|2021-02-25
184,BUFFALO HEAD PRAIRIE,2665,AB,184,1932-01-01|1959-12-01,1932-11-01|1959-09-30
185,BUFFALO LO,2666,AB,185,1958-01-01|2007-09-01,1958-05-01|2011-09-29
186,BULL SPRINGS AGCM,50921,AB,186,|,2018-05-14|2021-02-25
187,BULLHORN COULEE RESERVOIR,45747,AB,187,2007-03-01|2007-10-01,2007-03-01|2021-02-25
188,BULLHORN HEADWATERS,45749,AB,188,2007-03-01|2007-11-01,2007-03-01|2021-02-25
189,BULLPOUND CREEK,2059,AB,189,1982-01-01|1992-12-01,1982-05-01|1992-08-31
190,BURNS CREEK,8924,AB,190,1999-03-01|2007-11-01,1999-03-01|2007-11-30
191,BURNSTICK LO,2060,AB,191,1962-01-01|1992-12-01,1962-05-01|1992-08-31
192,BURNT TIMBER LO,2371,AB,192,1975-01-01|1986-12-01,1975-07-01|1986-09-30
193,BUSBY,6854,AB,193,1993-01-01|2007-11-01,1993-09-01|2015-12-18
194,BUSBY AGCM,47068,AB,194,|,2008-06-05|2021-02-25
195,CABIN LAKE AGCM,49948,AB,195,|,2018-05-14|2021-02-25
196,CADOGAN,1832,AB,196,1965-01-01|1965-12-01,1965-11-01|1965-12-31
197,CADOGAN,1833,AB,197,1980-01-01|2002-06-01,1980-07-01|2002-06-30
198,CADOGAN AGCM,46470,AB,198,|,2007-09-11|2021-02-25
199,CADOTTE LO,2667,AB,199,1967-01-01|2007-09-01,1967-05-01|2011-09-22
200,CALDWELL,2201,AB,200,1910-01-01|1990-12-01,1910-11-01|1990-12-31
201,CALENDULA SIBBALD,2061,AB,201,1926-01-01|1936-12-01,1926-05-01|1936-03-31
202,CALGARY BEARSPAW,2202,AB,202,1965-01-01|1965-12-01,1965-05-01|1965-08-31
203,CALGARY BELLEVIEW,2203,AB,203,1961-01-01|1966-12-01,1961-07-01|1966-08-31
204,CALGARY ELBOW VIEW,2168,AB,204,1966-01-01|1987-12-01,1966-08-01|1987-01-31
205,CALGARY GLENMORE DAM,2204,AB,205,1956-01-01|1979-12-01,1956-05-01|1979-09-30
206,CALGARY INT'L A,2205,AB,206,1881-01-01|2012-07-01,1881-10-01|2012-07-11
207,CALGARY INT'L CS,27211,AB,207,2000-06-01|2007-11-01,1999-05-01|2021-02-25
208,CALGARY INTL A,50430,AB,208,|,2012-07-12|2021-02-25
209,CALGARY MARLBOROUGH,45867,AB,209,2004-11-01|2007-11-01,2004-10-05|2012-04-28
210,CALGARY MIDNAPORE,45907,AB,210,2004-11-01|2007-11-01,2004-10-05|2012-04-26
211,CALGARY NOSE HILL,45887,AB,211,2004-11-01|2007-11-01,2004-10-05|2012-04-29
212,CALGARY POPLAR GARDENS,2206,AB,212,1987-01-01|2004-12-01,1987-02-01|2004-12-31
213,CALGARY ROSSCARROCK,45847,AB,213,2004-12-01|2007-11-01,2004-10-05|2012-04-25
214,CALGARY SIMONS VALLEY,2207,AB,214,1962-01-01|1966-12-01,1962-07-01|1966-11-30
215,CALGARY SPRINGBANK,2209,AB,215,1961-01-01|1963-12-01,1961-07-01|1963-10-31
216,CALGARY SPRINGBANK,2208,AB,216,1970-01-01|1970-12-01,1970-01-01|1970-11-30
217,CALGARY SPRINGBANK A,52200,AB,217,|,2018-10-29|2021-02-25
218,CALGARY SPRINGBANK A,50623,AB,218,|,2012-08-09|2014-02-13
219,CALLING LAKE RS,2489,AB,219,1962-01-01|2007-11-01,1962-05-01|2011-01-31
220,CALMAR,1835,AB,220,1914-01-01|2007-11-01,1914-08-01|2018-09-29
221,CALMAR TOWNSITE,1836,AB,221,1952-01-01|1959-12-01,1952-06-01|1959-03-31
222,CALMAR WEST,1837,AB,222,1970-01-01|1992-12-01,1970-01-01|1992-09-30
223,CAMBRIA LO,2668,AB,223,1987-01-01|2007-08-01,1987-05-01|2011-08-02
224,CAMERON COULEE,2210,AB,224,1986-01-01|1989-12-01,1986-07-01|1989-03-31
225,CAMERON FALLS,2373,AB,225,1975-01-01|1995-12-01,1975-03-01|1995-12-31
226,CAMP WAINWRIGHT AIRFIELD 21,52358,AB,226,|,|
227,CAMPSIE,2490,AB,227,1910-01-01|2007-11-01,1910-06-01|2013-10-02
228,CAMPSIE AUTO,51899,AB,228,|,2013-11-07|2021-02-25
229,CAMROSE,1838,AB,229,1928-01-01|1941-12-01,1928-09-01|1941-05-31
230,CAMROSE,1839,AB,230,1946-01-01|2007-11-01,1946-03-01|2021-02-25
231,CAMROSE 2,1840,AB,231,1947-01-01|2007-11-01,1947-04-01|2016-05-31
232,CANMORE,2374,AB,232,1958-01-01|1958-12-01,1958-10-01|1958-10-31
233,CAPPON,53099,AB,233,|,2018-05-14|2021-02-25
234,CAPPON SOUTH,2062,AB,234,1978-01-01|1980-12-01,1978-06-01|1980-03-31
235,CARBON,2063,AB,235,1925-01-01|1982-12-01,1925-06-01|1982-12-31
236,CARBONDALE LO,2375,AB,236,1961-01-01|2007-09-01,1961-06-01|2011-08-23
237,CARDSTON,2211,AB,237,1918-01-01|2005-03-01,1918-08-01|2005-03-31
238,CARDSTON,26971,AB,238,1996-04-01|2007-11-01,1994-07-06|2021-02-25
239,CARDSTON,8763,AB,239,|,1996-01-01|1997-02-28
240,CARDSTON EXP ST,2212,AB,240,1955-01-01|1963-12-01,1955-01-01|1963-03-31
241,CARIBOU MTN LO,2064,AB,241,1975-01-01|1975-12-01,1975-05-01|1975-08-31
242,CARIBOU MTN LO,2669,AB,242,1976-01-01|1988-12-01,1976-05-01|1990-06-30
243,CARLSON TOWER,2671,AB,243,1968-01-01|1974-12-01,1968-06-01|1974-06-30
244,CARLSON'S LANDING LO,2670,AB,244,1975-01-01|1990-12-01,1975-05-01|1990-08-31
245,CARMANGAY,2213,AB,245,1961-01-01|1965-12-01,1961-07-01|1965-02-28
246,CARMANGAY EXP ST,2214,AB,246,1955-01-01|1963-12-01,1955-01-01|1963-02-28
247,CARMANGAY EXP ST 2,2215,AB,247,1955-01-01|1963-12-01,1955-01-01|1963-02-28
248,CARMANGAY EXP ST 3,2216,AB,248,1955-01-01|1963-12-01,1955-01-01|1963-03-31
249,CARMANGAY PLAINFIELD,2217,AB,249,1965-01-01|1966-12-01,1965-11-01|1966-08-31
250,CARMANGAY VILLAGE,2218,AB,250,1965-01-01|2007-11-01,1965-11-01|2008-01-31
251,CARNWOOD,30055,AB,251,2000-06-01|2007-11-01,2000-06-01|2016-10-11
252,CARROT CREEK,2491,AB,252,1980-01-01|1987-12-01,1980-08-01|1987-10-31
253,CARROT CREEK,53918,AB,253,|,2018-05-13|2021-02-25
254,CARROT CREEK LO,2492,AB,254,1939-01-01|2007-09-01,1939-05-01|2011-09-01
255,CARSTAIRS WEST,2065,AB,255,1984-01-01|1994-12-01,1984-07-01|1994-06-30
256,CARWAY,2219,AB,256,1914-01-01|2007-11-01,1914-08-01|2011-11-30
257,CARWAY,49968,AB,257,|,2012-01-16|2021-02-25
258,CASTLE,2377,AB,258,1958-01-01|2007-09-01,1958-07-01|2011-09-01
259,CASTLE MOUNTAIN VILLAGE,2376,AB,259,1983-01-01|2001-02-01,1983-06-01|2001-02-28
260,CASTOR,1841,AB,260,1951-01-01|1963-12-01,1951-01-01|1963-04-30
261,CASTOR,1842,AB,261,1969-01-01|1992-12-01,1969-12-01|1992-10-31
262,CAYLEY,2220,AB,262,1969-01-01|1972-12-01,1969-12-01|1972-02-29
263,CEREAL,2066,AB,263,1974-01-01|1976-12-01,1974-07-01|1976-10-31
264,CEREAL AGCM,50938,AB,264,|,2018-05-14|2021-02-25
265,CESSFORD,2067,AB,265,1982-01-01|1998-10-01,1982-06-01|1998-10-31
266,CHAILEY,1843,AB,266,1980-01-01|2007-11-01,1980-10-01|2009-10-21
267,CHAIN LAKES RS,2221,AB,267,1972-01-01|1976-12-01,1972-05-01|1976-10-31
268,CHAMPION AGDM,32254,AB,268,2002-12-01|2007-11-01,2002-11-01|2021-02-25
269,CHAPEL ROCK,10689,AB,269,1998-11-01|2007-11-01,1998-11-01|2007-11-30
270,CHAUVIN,1844,AB,270,1980-01-01|1990-12-01,1980-07-01|1990-04-30
271,CHAUVIN EXP ST,1845,AB,271,1951-01-01|1956-12-01,1951-01-01|1956-11-30
272,CHEDDERVILLE CDA EPF,1846,AB,272,1954-01-01|1977-12-01,1954-01-01|1977-11-30
273,CHERRY MOUNTAIN TOWER,2672,AB,273,1968-01-01|1981-12-01,1968-06-01|1981-08-31
274,CHESTERMERE LAKE SOUTH,2222,AB,274,1974-01-01|1985-12-01,1974-07-01|1985-05-31
275,CHIEF CUSTOMS,9410,AB,275,2003-03-01|2007-11-01,2003-03-01|2007-11-30
276,CHINCHAGA LO,2673,AB,276,1958-01-01|2007-09-01,1958-05-01|2011-09-01
277,CHIPEWYAN LAKES LO,2674,AB,277,1967-01-01|2007-08-01,1967-06-01|2011-08-23
278,CHIPMAN,1847,AB,278,1954-01-01|1960-12-01,1954-08-01|1960-04-30
279,CHISHOLM LO,2493,AB,279,1959-01-01|2007-09-01,1959-05-01|2011-09-01
280,CHISHOLM MILLS,2494,AB,280,1973-01-01|1973-12-01,1973-07-01|1973-10-31
281,CHRISTINA LAKE,46927,AB,281,2007-09-01|2007-10-01,2007-09-01|2007-10-31
282,CHRISTINA LO,2495,AB,282,1967-01-01|2002-05-01,1966-07-01|2002-05-31
283,CHUNGO LO,2378,AB,283,1961-01-01|1964-12-01,1960-07-01|1964-08-31
284,CLARESHOLM,2224,AB,284,1951-01-01|2007-11-01,1951-08-01|2021-02-25
285,CLARESHOLM EXP FARM,2225,AB,285,1914-01-01|1931-12-01,1914-02-01|1931-12-31
286,CLARESHOLM EXP ST,2226,AB,286,1954-01-01|1961-12-01,1954-01-01|1961-02-28
287,CLARESHOLM LAING,2223,AB,287,1965-01-01|1967-12-01,1965-11-01|1967-11-30
288,CLARESHOLM LYNDON CREEK,2372,AB,288,1976-01-01|1976-12-01,1976-04-01|1976-10-31
289,CLARESHOLM MEADOW CREEK,2200,AB,289,1912-01-01|2005-03-01,1912-10-01|2005-03-31
290,CLARESHOLM NORTH,2198,AB,290,1966-01-01|1967-12-01,1966-04-01|1967-04-30
291,CLARESHOLM TROUT CREEK,2360,AB,291,1966-01-01|1976-12-01,1966-06-01|1976-03-31
292,CLARESHOLM WATERWORKS,2227,AB,292,1959-01-01|2007-11-01,1959-03-01|2008-01-09
293,CLEAR HILLS AGCM,51838,AB,293,|,2018-05-14|2021-02-25
294,CLEAR HILLS LO,2675,AB,294,1954-01-01|2007-09-01,1954-06-01|2011-09-29
